frame,predicted_count,gold_count,true_positives,false_positives,false_negatives,precision,recall,f1,localization_rmse_px,seed_count,otsu_threshold,high_threshold,low_threshold
218,271,342,231,40,111,0.852399,0.675439,0.753670,3.838848,271,24.818472,29.782166,0.992739
219,268,344,229,39,115,0.854478,0.665698,0.748366,3.914690,268,24.724812,29.669774,0.988992
220,275,347,235,40,112,0.854545,0.677233,0.755627,3.886688,275,24.229804,29.075765,0.969192
221,278,350,238,40,112,0.856115,0.680000,0.757962,3.787585,278,24.293993,29.152792,0.971760
222,284,352,242,42,110,0.852113,0.687500,0.761006,3.634826,284,24.369715,29.243658,0.974789
223,279,354,240,39,114,0.860215,0.677966,0.758294,3.566411,279,24.241463,29.089755,0.969659
224,277,357,241,36,116,0.870036,0.675070,0.760252,3.626456,277,23.754014,28.504817,0.950161
225,290,362,251,39,111,0.865517,0.693370,0.769939,3.645787,290,24.181829,29.018194,0.967273
226,290,363,249,41,114,0.858621,0.685950,0.762634,3.631709,290,23.986209,28.783450,0.959448
227,288,365,247,41,118,0.857639,0.676712,0.756508,3.907702,288,23.925347,28.710416,0.957014
228,297,368,252,45,116,0.848485,0.684783,0.757895,3.878366,297,23.688366,28.426039,0.947535
229,294,369,251,43,118,0.853741,0.680217,0.757164,3.915201,294,23.100989,27.721187,0.924040
230,300,371,261,39,110,0.870000,0.703504,0.777943,3.965686,300,22.956981,27.548377,0.918279
231,302,373,260,42,113,0.860927,0.697051,0.770370,3.805252,302,22.855848,27.427018,0.914234
232,308,374,262,46,112,0.850649,0.700535,0.768328,3.864625,308,22.491702,26.990042,0.899668
233,308,375,259,49,116,0.840909,0.690667,0.758419,3.972735,308,22.720825,27.264990,0.908833
234,306,376,257,49,119,0.839869,0.683511,0.753666,4.048327,306,22.709184,27.251020,0.908367
235,308,375,260,48,115,0.844156,0.693333,0.761347,4.002138,308,22.625905,27.151086,0.905036
236,311,376,264,47,112,0.848875,0.702128,0.768559,3.937494,311,22.499197,26.999037,0.899968
237,318,375,272,46,103,0.855346,0.725333,0.784993,3.890855,318,22.178491,26.614189,0.887140
238,306,376,259,47,117,0.846405,0.688830,0.759531,3.828903,306,22.151334,26.581601,0.886053
239,311,377,265,46,112,0.852090,0.702918,0.770349,3.985942,311,22.550963,27.061155,0.902039
240,308,383,260,48,123,0.844156,0.678851,0.752533,3.966030,308,22.679988,27.215986,0.907200
241,315,386,262,53,124,0.831746,0.678756,0.747504,3.945581,315,22.483812,26.980575,0.899352
242,311,389,263,48,126,0.845659,0.676093,0.751429,3.911661,311,22.871306,27.445567,0.914852
243,323,390,270,53,120,0.835913,0.692308,0.757363,3.528778,323,22.641279,27.169535,0.905651
244,322,391,269,53,122,0.835404,0.687980,0.754558,3.723746,322,22.708492,27.250190,0.908340
245,325,393,273,52,120,0.840000,0.694656,0.760446,3.641082,325,22.723645,27.268374,0.908946
246,323,396,268,55,128,0.829721,0.676768,0.745480,3.930925,323,22.875471,27.450565,0.915019
247,324,399,268,56,131,0.827160,0.671679,0.741355,3.949504,324,22.461579,26.953895,0.898463
248,323,399,271,52,128,0.839009,0.679198,0.750693,4.022902,323,23.032844,27.639412,0.921314
249,324,402,269,55,133,0.830247,0.669154,0.741047,3.784011,324,22.920733,27.504880,0.916829
250,328,404,277,51,127,0.844512,0.685644,0.756831,3.763496,328,22.670374,27.204449,0.906815
251,330,404,278,52,126,0.842424,0.688119,0.757493,3.574537,330,22.256560,26.707872,0.890262
252,329,409,276,53,133,0.838906,0.674817,0.747967,3.591189,329,22.411494,26.893792,0.896460
253,335,414,280,55,134,0.835821,0.676329,0.747664,3.746856,335,22.575954,27.091144,0.903038
254,341,417,284,57,133,0.832845,0.681055,0.749340,3.763757,341,22.727058,27.272470,0.909082
255,338,422,283,55,139,0.837278,0.670616,0.744737,3.910242,338,22.214751,26.657702,0.888590
256,338,426,286,52,140,0.846154,0.671362,0.748691,3.937834,338,22.165552,26.598662,0.886622
257,340,422,284,56,138,0.835294,0.672986,0.745407,4.013790,340,22.570879,27.085055,0.902835
258,342,426,291,51,135,0.850877,0.683099,0.757812,3.756820,342,22.646045,27.175254,0.905842
259,339,434,289,50,145,0.852507,0.665899,0.747736,3.824921,339,22.484336,26.981203,0.899373
260,345,442,294,51,148,0.852174,0.665158,0.747141,3.783031,345,22.688518,27.226222,0.907541
261,349,445,300,49,145,0.859599,0.674157,0.755668,3.861817,349,22.036376,26.443652,0.881455
262,354,455,302,52,153,0.853107,0.663736,0.746601,3.773242,354,22.032654,26.439185,0.881306
263,348,466,303,45,163,0.870690,0.650215,0.744472,3.898478,348,22.053317,26.463980,0.882133
264,342,472,297,45,175,0.868421,0.629237,0.729730,3.635931,342,21.906670,26.288004,0.876267
265,346,477,301,45,176,0.869942,0.631027,0.731470,3.692801,346,21.990126,26.388151,0.879605
266,356,480,314,42,166,0.882022,0.654167,0.751196,3.657588,356,21.486386,25.783664,0.859455
267,356,483,312,44,171,0.876404,0.645963,0.743743,3.746363,356,21.523719,25.828462,0.860949
268,353,486,306,47,180,0.866856,0.629630,0.729440,3.751683,353,21.408112,25.689735,0.856324
